first_name;last_name;date_of_birth;year_of_birth;street_address;email;gender;region;campus;entry_level;year_of_entry;year_of_exit;study_lenght;level_of_exit;still_student;level;contratPro;speciality;compta_paymentType;compta_paid;compta_paymentDue;compta_relance
Raoul;Walkowski;10/07/1975;1975;530 Cody Lane;raoulwalkowski@supinfo.com;Female;Hauts-de-France;Distanciel;M.ENG 1;2003;2008;5;M.ENG 2;false;;false;;Comptant;true;0;
Martelle;Crowley;21/05/1984;1984;07778 Northwestern Way;martellecrowley@supinfo.com;Male;Centre-Val de Loire;Tours;B.ENG 1;2005;2007;2;B.ENG 2;false;;false;;Echelonnement;true;0;
Andra;Itzik;02/10/1985;1985;6017 Parkside Point;andraitzik@supinfo.com;Male;Pays de la Loire;Distanciel;M.ENG 1;2013;2015;2;M.ENG 2;false;;false;;Comptant;true;0;
Isidore;Jouannin;29/09/1993;1993;9869 Wayridge Hill;isidorejouannin@supinfo.com;Male;Hauts-de-France;Distanciel;B.ENG 1;2009;2014;5;M.ENG 2;false;;false;;Comptant;true;0;
Carlyn;Nesby;01/01/1999;1999;85 Hoard Trail;carlynnesby@supinfo.com;Male;Pays de la Loire;Distanciel;B.ENG 1;2015;2016;1;B.ENG 1;false;;false;;Comptant;true;0;
Marji;Galliard;10/01/1997;1997;343 Lindbergh Crossing;marjigalliard@supinfo.com;Male;Bretagne;Distanciel;B.ENG 2;2015;2018;3;M.ENG 1;false;;false;;Comptant;true;0;
Oneida;Klimschak;03/11/1986;1986;39 Emmet Terrace;oneidaklimschak@supinfo.com;Female;Grand Est;Distanciel;M.ENG 1;2017;2018;1;M.ENG 1;false;;false;;Comptant;true;0;
Olympia;Bugg;15/04/2001;2001;4 Mesta Street;olympiabugg@supinfo.com;Female;Hauts-de-France;Distanciel;B.ENG 1;2017;;5;;true;M.ENG 2;true;Intelligence Artificielle;OPCA;true;0;
Minne;Mougenel;05/01/1979;1979;8 Golden Leaf Road;minnemougenel@supinfo.com;Female;Grand Est;Distanciel;B.ENG 1;1997;2002;5;M.ENG 2;false;;false;;Comptant;true;0;
Theressa;Reneke;14/05/1977;1977;64843 Autumn Leaf Road;theressareneke@supinfo.com;Male;Grand Est;Distanciel;B.ENG 1;2002;2003;1;B.ENG 1;false;;false;;Comptant;true;0;
Zacharia;Strathe;07/05/1976;1976;80534 Bunker Hill Junction;zachariastrathe@supinfo.com;Male;Bretagne;Distanciel;B.ENG 1;2004;2005;1;B.ENG 1;false;;false;;Comptant;true;0;
Doyle;MacConnechie;19/05/1997;1997;19 Esker Parkway;doylemacconnechie@supinfo.com;Female;Pays de la Loire;Distanciel;B.ENG 1;2014;2017;3;B.ENG 3;false;;false;;Comptant;true;0;
Lorna;Bonhome;13/06/1997;1997;08573 Northwestern Point;lornabonhome@supinfo.com;Male;Pays de la Loire;Distanciel;B.ENG 1;2015;2019;4;M.ENG 1;false;;false;;Comptant;true;0;
Elysia;Westphal;26/01/1979;1979;2296 Lien Park;elysiawestphal@supinfo.com;Male;Hauts-de-France;Distanciel;M.ENG 1;2016;;6;;true;M.ENG 2;true;Data Engineering;OPCA;true;0;
Bone;Balfe;15/10/1987;1987;41 Hagan Parkway;bonebalfe@supinfo.com;Female;Grand Est;Distanciel;B.ENG 1;2013;2015;2;B.ENG 2;false;;false;;Echelonnement;true;0;
Kippy;Shoveller;06/06/1994;1994;28 Macpherson Place;kippyshoveller@supinfo.com;Male;Normandie;Caen;B.ENG 1;2015;2018;3;B.ENG 3;false;;false;;Comptant;true;0;
Sidney;Melbourne;31/01/2001;2001;48378 Walton Plaza;sidneymelbourne@supinfo.com;Male;Bretagne;Distanciel;B.ENG 1;2017;;5;;true;M.ENG 2;true;Intelligence Artificielle;OPCA;true;0;
Morganica;Spira;11/06/2001;2001;43 Mosinee Center;morganicaspira@supinfo.com;Female;Pays de la Loire;Distanciel;B.ENG 1;2017;2020;3;B.ENG 3;false;;false;;Comptant;true;0;
Andras;January 1st;28/09/1978;1978;15705 Pierstorff Point;andrasjanuary 1st@supinfo.com;Female;Centre-Val de Loire;Tours;B.ENG 3;2004;2008;4;M.ENG 2;false;;false;;Comptant;true;0;
Selie;Neubigging;04/02/2001;2001;4754 Stuart Center;selieneubigging@supinfo.com;Male;Hauts-de-France;Distanciel;B.ENG 1;2019;;3;;true;B.ENG 3;false;;Comptant;true;0;
Eolande;Leijs;15/10/1984;1984;5 Tennessee Pass;eolandeleijs@supinfo.com;Male;Normandie;Caen;M.ENG 1;2020;;2;;true;M.ENG 2;true;Intelligence Artificielle;OPCA;true;0;
Prissie;Mebius;29/01/1998;1998;2419 Crescent Oaks Plaza;prissiemebius@supinfo.com;Male;Pays de la Loire;Distanciel;B.ENG 1;2014;2016;2;B.ENG 2;false;;false;;Comptant;true;0;
Derick;Haburne;25/02/1980;1980;637 Hanover Terrace;derickhaburne@supinfo.com;Female;Centre-Val de Loire;Distanciel;M.ENG 1;2013;2019;6;M.ENG 2;false;;false;;Comptant;true;0;
Marlon;Ogbourne;31/05/1997;1997;0 Maywood Alley;marlonogbourne@supinfo.com;Female;Pays de la Loire;Distanciel;B.ENG 1;2017;;5;;true;M.ENG 2;true;Intelligence Artificielle;OPCA;true;0;
Michaeline;Saddleton;01/09/1979;1979;87357 Hanover Street;michaelinesaddleton@supinfo.com;Male;Bretagne;Distanciel;B.ENG 1;2001;2003;2;B.ENG 2;false;;false;;Comptant;true;0;
Lydia;Hackelton;06/05/1978;1978;50 Reindahl Point;lydiahackelton@supinfo.com;Male;Nouvelle-Aquitaine;Distanciel;B.ENG 1;2018;;4;;true;M.ENG 1;true;Intelligence Artificielle;OPCA;true;0;
Allyce;Balentyne;05/07/1979;1979;5 Lien Road;allycebalentyne@supinfo.com;Male;Normandie;Caen;B.ENG 1;1995;1997;2;B.ENG 2;false;;false;;Echelonnement;true;0;
Jeffry;Weth;18/04/2002;2002;54457 Talisman Trail;jeffryweth@supinfo.com;Female;Pays de la Loire;Distanciel;B.ENG 1;2019;;3;;true;B.ENG 3;true;;OPCA;true;0;
Emlynn;Cropton;15/10/1990;1990;975 Loomis Hill;emlynncropton@supinfo.com;Female;Pays de la Loire;Distanciel;M.ENG 1;2017;2019;2;M.ENG 2;false;;false;;Comptant;true;0;
Zeke;Knevet;05/07/1980;1980;038 Blue Bill Park Point;zekeknevet@supinfo.com;Male;Bretagne;Distanciel;B.ENG 1;2016;2017;1;B.ENG 1;false;;false;;Comptant;true;0;
Faye;Lorincz;16/12/1989;1989;75 Moose Terrace;fayelorincz@supinfo.com;Male;Normandie;Caen;B.ENG 1;2005;2010;5;M.ENG 2;false;;false;;Comptant;true;0;
Brett;Gillebride;28/08/1978;1978;8493 Maple Wood Alley;brettgillebride@supinfo.com;Male;Hauts-de-France;Distanciel;B.ENG 1;1999;2002;3;B.ENG 3;false;;false;;Comptant;true;0;
Leandra;Oxborough;20/12/2002;2002;30 Hallows Point;leandraoxborough@supinfo.com;Female;Nouvelle-Aquitaine;Distanciel;B.ENG 1;2020;;2;;true;B.ENG 2;false;;Comptant;true;0;
Vladamir;Zannutti;02/03/1989;1989;2818 Vahlen Crossing;vladamirzannutti@supinfo.com;Female;Bretagne;Distanciel;B.ENG 1;2010;2013;3;B.ENG 3;false;;false;;Echelonnement;true;0;
Birk;Cullotey;10/06/1986;1986;1492 Jackson Place;birkcullotey@supinfo.com;Male;Centre-Val de Loire;Tours;B.ENG 2;2006;2010;4;M.ENG 2;false;;false;;Echelonnement;true;0;
Clyde;Rockwill;20/01/1985;1985;97 Dakota Plaza;clyderockwill@supinfo.com;Male;Normandie;Caen;B.ENG 1;2001;2003;2;B.ENG 2;false;;false;;Comptant;true;0;
Carissa;Wemyss;07/03/1993;1993;0787 Shasta Plaza;carissawemyss@supinfo.com;Male;Hauts-de-France;Distanciel;B.ENG 1;2011;2017;6;M.ENG 2;false;;false;;Comptant;true;0;
Iona;Vasishchev;19/12/1982;1982;14816 Burning Wood Park;ionavasishchev@supinfo.com;Male;Centre-Val de Loire;Distanciel;B.ENG 1;2000;2006;6;M.ENG 2;false;;false;;Comptant;true;0;
Symon;Mounsey;07/12/1977;1977;44 Haas Circle;symonmounsey@supinfo.com;Male;Normandie;Caen;B.ENG 1;1994;2000;6;M.ENG 2;false;;false;;Comptant;true;0;
Briana;Langeley;10/01/1987;1987;6 Haas Avenue;brianalangeley@supinfo.com;Female;Centre-Val de Loire;Tours;B.ENG 1;2003;2004;1;B.ENG 1;false;;false;;Echelonnement;true;0;
Shandeigh;Son;02/04/2001;2001;46 Cordelia Avenue;shandeighson@supinfo.com;Female;Normandie;Caen;B.ENG 1;2019;;3;;true;B.ENG 3;false;;Comptant;true;0;
Taylor;Yabsley;01/03/1997;1997;625 Kedzie Crossing;tayloryabsley@supinfo.com;Female;Bretagne;Distanciel;B.ENG 3;2013;2016;3;M.ENG 2;false;;false;;Echelonnement;true;0;
Lowe;Thorneloe;15/12/1982;1982;14 Monterey Alley;lowethorneloe@supinfo.com;Male;Normandie;Caen;B.ENG 2;2017;2020;3;M.ENG 1;false;;false;;Comptant;true;0;
Siusan;Mollon;28/04/2002;2002;44 Northport Lane;siusanmollon@supinfo.com;Female;Nouvelle-Aquitaine;Distanciel;B.ENG 1;2019;;3;;true;B.ENG 3;false;;Comptant;true;0;
Lola;Paskin;13/09/1978;1978;0 Ruskin Hill;lolapaskin@supinfo.com;Male;Corse;Distanciel;M.ENG 1;2017;;5;;true;M.ENG 2;true;Systemes Reseaux et securité;OPCA;true;0;
Linoel;Abercrombie;17/11/1993;1993;48218 Pierstorff Pass;linoelabercrombie@supinfo.com;Male;Grand Est;Distanciel;B.ENG 1;2009;2013;4;M.ENG 1;false;;false;;Comptant;true;0;
Dar;Kimber;20/05/1994;1994;713 Badeau Circle;darkimber@supinfo.com;Female;Corse;Distanciel;B.ENG 1;2016;2017;1;B.ENG 1;false;;false;;Comptant;true;0;
Trude;Snarie;15/02/1998;1998;18704 Bellgrove Circle;trudesnarie@supinfo.com;Male;Normandie;Distanciel;B.ENG 1;2014;2018;4;M.ENG 1;false;;false;;Comptant;true;0;
Wilone;Kalewe;03/04/1976;1976;040 Wayridge Circle;wilonekalewe@supinfo.com;Male;Hauts-de-France;Distanciel;B.ENG 1;1992;1993;1;B.ENG 1;false;;false;;Comptant;true;0;
Rosalinde;Livett;06/09/1986;1986;714 Stoughton Plaza;rosalindelivett@supinfo.com;Male;Centre-Val de Loire;Tours;B.ENG 1;2004;2008;4;M.ENG 1;false;;false;;Comptant;true;0;
Regine;Coom;03/01/1996;1996;66 Sugar Hill;reginecoom@supinfo.com;Female;Grand Est;Distanciel;B.ENG 1;2012;2014;2;B.ENG 2;false;;false;;Echelonnement;true;0;
Josefa;Caplen;31/03/1986;1986;15 Ridgeway Pass;josefacaplen@supinfo.com;Male;Grand Est;Distanciel;B.ENG 1;2004;2006;2;B.ENG 2;false;;false;;Comptant;true;0;
Maxi;Petruska;04/04/1982;1982;1647 Washington Avenue;maxipetruska@supinfo.com;Female;Normandie;Caen;B.ENG 1;2019;2020;1;B.ENG 1;false;;false;;Echelonnement;true;0;
Griffy;Allanson;05/12/1986;1986;553 Westend Drive;griffyallanson@supinfo.com;Male;Normandie;Caen;B.ENG 1;2003;2004;1;B.ENG 1;false;;false;;Comptant;true;0;
Diego;McLernon;12/10/1979;1979;80719 Reinke Terrace;diegomclernon@supinfo.com;Male;Bretagne;Distanciel;B.ENG 2;2006;2011;5;M.ENG 2;false;;false;;Comptant;true;0;
Claudia;Wheaton;21/04/1992;1992;57 Morningstar Plaza;claudiawheaton@supinfo.com;Male;Pays de la Loire;Distanciel;B.ENG 1;2009;2013;4;M.ENG 1;false;;false;;Comptant;true;0;
Trace;Jayume;29/10/1986;1986;29 Tennessee Alley;tracejayume@supinfo.com;Male;Centre-Val de Loire;Tours;B.ENG 1;2004;2006;2;B.ENG 2;false;;false;;Comptant;true;0;
Galvan;Bunford;17/12/1987;1987;023 Schmedeman Avenue;galvanbunford@supinfo.com;Male;Pays de la Loire;Distanciel;B.ENG 1;2010;2015;5;M.ENG 2;false;;false;;Echelonnement;true;0;
Orelle;Cristofaro;26/07/1990;1990;9591 Homewood Circle;orellecristofaro@supinfo.com;Male;Bretagne;Distanciel;B.ENG 1;2007;2010;3;B.ENG 3;false;;false;;Comptant;true;0;
Gaye;Adamov;23/03/1988;1988;394 Summerview Crossing;gayeadamov@supinfo.com;Male;Bretagne;Distanciel;B.ENG 1;2006;2007;1;B.ENG 1;false;;false;;Comptant;true;0;
Ilysa;Aujouanet;23/09/1984;1984;0949 Old Gate Place;ilysaaujouanet@supinfo.com;Male;Hauts-de-France;Distanciel;B.ENG 1;2002;2007;5;M.ENG 2;false;;false;;Comptant;true;0;
Daisi;MacBey;15/08/2002;2002;7547 Corben Trail;daisimacbey@supinfo.com;Male;Centre-Val de Loire;Tours;B.ENG 1;2019;2020;1;B.ENG 1;false;;false;;Echelonnement;true;0;
Wren;Ancliff;28/12/1993;1993;90468 Roxbury Parkway;wrenancliff@supinfo.com;Female;Grand Est;Distanciel;B.ENG 1;2009;2011;2;B.ENG 2;false;;false;;Comptant;true;0;
Ashlee;Gronav;06/12/1977;1977;29765 Gateway Drive;ashleegronav@supinfo.com;Female;Corse;Distanciel;B.ENG 1;2002;2008;6;M.ENG 2;false;;false;;Comptant;true;0;
Inna;Wankling;26/06/1984;1984;8 Haas Court;innawankling@supinfo.com;Male;Hauts-de-France;Distanciel;B.ENG 1;2016;2018;2;B.ENG 2;false;;false;;Comptant;true;0;
Claiborne;Jamrowicz;11/06/1998;1998;1426 Vernon Drive;claibornejamrowicz@supinfo.com;Female;Grand Est;Distanciel;B.ENG 1;2015;;7;;true;;false;;Echelonnement;false;4425;false
Donall;Padgett;04/04/1998;1998;0915 Alpine Junction;donallpadgett@supinfo.com;Female;Pays de la Loire;Distanciel;B.ENG 1;2015;2020;5;M.ENG 2;false;;false;;Comptant;true;0;
Kristoforo;McBrier;04/10/1975;1975;994 Messerschmidt Avenue;kristoforomcbrier@supinfo.com;Male;Pays de la Loire;Distanciel;B.ENG 1;2000;2004;4;M.ENG 1;false;;false;;Echelonnement;true;0;
Nowell;Winters;23/11/1998;1998;95 South Road;nowellwinters@supinfo.com;Female;Hauts-de-France;Distanciel;B.ENG 1;2016;2019;3;B.ENG 3;false;;false;;Comptant;true;0;
Florence;Sex;04/09/1985;1985;606 Tomscot Pass;florencesex@supinfo.com;Female;Hauts-de-France;Distanciel;B.ENG 1;2010;2011;1;B.ENG 1;false;;false;;Echelonnement;true;0;
Jannel;Pierrepoint;31/03/2000;2000;751 Oak Valley Road;jannelpierrepoint@supinfo.com;Female;Centre-Val de Loire;Tours;B.ENG 1;2017;;5;;true;M.ENG 2;true;Systemes Reseaux et securité;OPCA;true;0;
Raine;Salsbury;14/07/1980;1980;360 Mifflin Avenue;rainesalsbury@supinfo.com;Male;Bretagne;Distanciel;B.ENG 1;2020;;2;;true;B.ENG 2;false;;Echelonnement;false;6155;false
Arabel;Grigson;27/05/2002;2002;7 Cordelia Parkway;arabelgrigson@supinfo.com;Female;Corse;Distanciel;B.ENG 1;2018;;4;;true;M.ENG 1;true;Intelligence Artificielle;OPCA;true;0;
Burgess;Ferronet;11/06/1976;1976;1 Dennis Avenue;burgessferronet@supinfo.com;Female;Normandie;Caen;B.ENG 1;2014;2019;5;M.ENG 2;false;;false;;Echelonnement;true;0;
Wilek;Quadling;07/06/1975;1975;709 Moland Center;wilekquadling@supinfo.com;Female;Hauts-de-France;Distanciel;B.ENG 1;1997;1998;1;B.ENG 1;false;;false;;Comptant;true;0;
Carleton;Folkes;03/10/1980;1980;1769 Tony Junction;carletonfolkes@supinfo.com;Male;Normandie;Caen;B.ENG 2;2005;2006;1;B.ENG 2;false;;false;;Comptant;true;0;
Abey;Mozzi;25/05/1985;1985;2 Thompson Way;abeymozzi@supinfo.com;Female;Hauts-de-France;Distanciel;B.ENG 1;2008;2012;4;M.ENG 1;false;;false;;Comptant;true;0;
Guy;Mickleburgh;07/12/1976;1976;0413 Annamark Circle;guymickleburgh@supinfo.com;Female;Hauts-de-France;Distanciel;B.ENG 1;1992;1994;2;B.ENG 2;false;;false;;Echelonnement;true;0;
Alard;Glazer;02/09/1999;1999;447 Nevada Terrace;alardglazer@supinfo.com;Female;Normandie;Distanciel;M.ENG 1;2017;;5;;true;M.ENG 2;true;Systemes Reseaux et securité;OPCA;true;0;
Leeanne;Flewan;12/12/1993;1993;4 Lawn Plaza;leeanneflewan@supinfo.com;Male;Pays de la Loire;Distanciel;B.ENG 1;2019;;3;;true;B.ENG 3;false;;Comptant;true;0;
Rosmunda;Frankiss;19/05/2001;2001;38 Rigney Pass;rosmundafrankiss@supinfo.com;Male;Centre-Val de Loire;Tours;B.ENG 1;2019;;3;;true;B.ENG 3;false;;Echelonnement;false;1022;false
Inger;Denizet;19/12/2000;2000;714 Farmco Trail;ingerdenizet@supinfo.com;Female;Bretagne;Distanciel;B.ENG 1;2017;2018;1;B.ENG 1;false;;false;;Comptant;true;0;
Doria;Field;04/03/1988;1988;83 Warrior Road;doriafield@supinfo.com;Male;Normandie;Caen;B.ENG 1;2019;;3;;true;B.ENG 3;false;;Comptant;true;0;
Jessalin;Seear;28/08/1982;1982;973 Westerfield Pass;jessalinseear@supinfo.com;Male;Bretagne;Distanciel;B.ENG 1;2013;2018;5;M.ENG 2;false;;false;;Comptant;true;0;
Richmound;Puddicombe;31/03/1980;1980;9206 Fulton Drive;richmoundpuddicombe@supinfo.com;Female;Grand Est;Distanciel;B.ENG 1;1997;2001;4;M.ENG 1;false;;false;;Comptant;true;0;
Levy;Kirkebye;19/06/1990;1990;442 Holy Cross Avenue;levykirkebye@supinfo.com;Female;Normandie;Caen;B.ENG 1;2008;2010;2;B.ENG 2;false;;false;;Echelonnement;true;0;
Bradly;Stendell;30/04/1979;1979;0 Summit Crossing;bradlystendell@supinfo.com;Male;Normandie;Caen;B.ENG 1;2017;;5;;true;M.ENG 2;true;Intelligence Artificielle;OPCA;true;0;
Johanna;Mays;27/08/1978;1978;72 Redwing Terrace;johannamays@supinfo.com;Male;Hauts-de-France;Distanciel;B.ENG 1;2007;2009;2;B.ENG 2;false;;false;;Comptant;true;0;
Chevalier;Kolushev;22/08/1980;1980;49 Russell Way;chevalierkolushev@supinfo.com;Female;Centre-Val de Loire;Tours;B.ENG 1;1998;2003;5;M.ENG 2;false;;false;;Comptant;true;0;
Rob;Stileman;22/08/1995;1995;4213 Truax Drive;robstileman@supinfo.com;Female;Normandie;Distanciel;B.ENG 1;2012;2016;4;M.ENG 1;false;;false;;Comptant;true;0;
Cecilio;Matson;01/12/1998;1998;4743 Darwin Trail;ceciliomatson@supinfo.com;Female;Pays de la Loire;Distanciel;B.ENG 1;2015;2020;5;M.ENG 2;false;;false;;Comptant;true;0;
Igor;Tomet;22/05/1978;1978;9705 Kings Trail;igortomet@supinfo.com;Female;Hauts-de-France;Distanciel;B.ENG 1;2019;;3;;true;B.ENG 3;false;;Comptant;true;0;
Boris;Zanicchelli;23/09/1991;1991;267 Little Fleur Street;boriszanicchelli@supinfo.com;Male;Bretagne;Distanciel;B.ENG 1;2008;2011;3;B.ENG 3;false;;false;;Comptant;true;0;
Billy;Cookes;30/07/1982;1982;41 East Parkway;billycookes@supinfo.com;Male;Normandie;Caen;B.ENG 1;1998;2002;4;M.ENG 1;false;;false;;Echelonnement;true;0;
Jacinthe;Humberstone;12/09/1983;1983;3389 American Parkway;jacinthehumberstone@supinfo.com;Female;Normandie;Distanciel;B.ENG 1;2001;2006;5;M.ENG 2;false;;false;;Comptant;true;0;
Berte;Katz;11/10/1990;1990;1407 Aberg Court;bertekatz@supinfo.com;Female;Occitanie;Distanciel;B.ENG 1;2007;2012;5;M.ENG 2;false;;false;;Comptant;true;0;
Hilarius;Beefon;15/05/1985;1985;021 Tomscot Place;hilariusbeefon@supinfo.com;Male;Normandie;Caen;B.ENG 1;2005;2006;1;B.ENG 1;false;;false;;Comptant;true;0;
Francklin;De Fries;24/08/1977;1977;357 Towne Park;francklinde fries@supinfo.com;Female;Normandie;Distanciel;B.ENG 3;2015;;7;;true;;true;;OPCA;true;0;
Letisha;Turfin;07/09/1979;1979;20091 Loomis Street;letishaturfin@supinfo.com;Female;Centre-Val de Loire;Distanciel;B.ENG 1;1995;2001;6;M.ENG 2;false;;false;;Comptant;true;0;
Fremont;Eaglesham;30/12/1984;1984;13376 Melvin Avenue;fremonteaglesham@supinfo.com;Female;Pays de la Loire;Distanciel;B.ENG 1;2002;2006;4;M.ENG 1;false;;false;;Comptant;true;0;
Erny;Benesevich;29/03/1986;1986;47 Londonderry Street;ernybenesevich@supinfo.com;Female;Normandie;Caen;B.ENG 1;2003;2005;2;B.ENG 2;false;;false;;Comptant;true;0;
Jaymie;Conibear;15/09/1975;1975;79480 Northview Court;jaymieconibear@supinfo.com;Male;Pays de la Loire;Distanciel;B.ENG 3;2005;2011;6;M.ENG 2;false;;false;;Comptant;true;0;
Ashia;Goodricke;25/09/1978;1978;835 Jay Way;ashiagoodricke@supinfo.com;Male;Occitanie;Distanciel;M.ENG 1;2011;2013;2;M.ENG 2;false;;false;;Comptant;true;0;
Jecho;Ricard;08/07/1997;1997;64908 Kedzie Court;jechoricard@supinfo.com;Female;Normandie;Caen;B.ENG 1;2015;2016;1;B.ENG 1;false;;false;;Comptant;true;0;
Tulley;Brotherhed;08/01/1975;1975;96 Green Ridge Park;tulleybrotherhed@supinfo.com;Male;Grand Est;Distanciel;M.ENG 1;2016;2020;4;M.ENG 2;false;;false;;Comptant;true;0;
Josy;Bunhill;04/01/1978;1978;1 Claremont Hill;josybunhill@supinfo.com;Male;Normandie;Caen;B.ENG 1;2015;2020;5;M.ENG 2;false;;false;;Echelonnement;true;0;
Torrance;Rundle;24/12/1980;1980;27968 Luster Plaza;torrancerundle@supinfo.com;Male;Centre-Val de Loire;Distanciel;M.ENG 1;2004;2009;5;M.ENG 2;false;;false;;Comptant;true;0;
Jeanette;Pallis;25/07/1980;1980;10668 Rigney Trail;jeanettepallis@supinfo.com;Male;Occitanie;Distanciel;B.ENG 1;1996;2001;5;M.ENG 2;false;;false;;Echelonnement;true;0;
Tate;Pasek;18/05/1983;1983;6285 Warbler Parkway;tatepasek@supinfo.com;Male;Normandie;Caen;B.ENG 1;2009;2011;2;B.ENG 1;false;;false;;Echelonnement;true;0;
Brett;Giovanitti;19/07/2001;2001;9143 Forest Dale Avenue;brettgiovanitti@supinfo.com;Male;Bretagne;Distanciel;B.ENG 1;2019;;3;;true;B.ENG 3;false;;Echelonnement;false;1945;true
Bastien;Newtown;14/12/2000;2000;1921 Upham Avenue;bastiennewtown@supinfo.com;Female;Corse;Distanciel;B.ENG 1;2019;2020;1;B.ENG 1;false;;false;;Echelonnement;true;0;
Holli;Budd;06/06/2000;2000;58 Susan Lane;hollibudd@supinfo.com;Male;Hauts-de-France;Distanciel;B.ENG 1;2018;2019;1;B.ENG 1;false;;false;;Comptant;true;0;
Pauline;Seakings;10/02/2000;2000;7 Macpherson Center;paulineseakings@supinfo.com;Male;Centre-Val de Loire;Distanciel;B.ENG 1;2018;2019;1;B.ENG 1;false;;false;;Comptant;true;0;
Davon;Harrismith;29/11/1979;1979;2606 Shelley Alley;davonharrismith@supinfo.com;Male;Occitanie;Distanciel;B.ENG 1;1996;1997;1;B.ENG 1;false;;false;;Comptant;true;0;
Nadya;Vondracek;09/07/1999;1999;0 Magdeline Crossing;nadyavondracek@supinfo.com;Male;Bretagne;Distanciel;B.ENG 1;2015;2019;4;B.ENG 3;false;;false;;Comptant;true;0;
Suki;Gorick;31/08/2001;2001;33064 Caliangt Way;sukigorick@supinfo.com;Female;Pays de la Loire;Distanciel;B.ENG 1;2018;2019;1;B.ENG 1;false;;false;;Comptant;true;0;
Heinrik;Gethins;29/06/2002;2002;0530 Logan Street;heinrikgethins@supinfo.com;Female;Occitanie;Distanciel;B.ENG 1;2019;;3;;true;B.ENG 3;false;;Echelonnement;false;5921;true
Rourke;Palser;22/05/2002;2002;43 West Lane;rourkepalser@supinfo.com;Female;Normandie;Caen;B.ENG 1;2019;;3;;true;B.ENG 3;true;;OPCA;true;0;
Thedric;Derycot;19/06/1999;1999;5056 Washington Road;thedricderycot@supinfo.com;Female;Normandie;Caen;B.ENG 1;2017;2020;3;B.ENG 3;false;;false;;Comptant;true;0;
Xylina;Pughe;16/02/1988;1988;77176 Roxbury Center;xylinapughe@supinfo.com;Male;Bretagne;Distanciel;B.ENG 1;2018;;4;;true;M.ENG 1;true;Systemes Reseaux et securité;OPCA;true;0;
Seka;Collisson;28/01/1977;1977;584 Graedel Drive;sekacollisson@supinfo.com;Male;Normandie;Caen;B.ENG 3;2008;2011;3;M.ENG 2;false;;false;;Comptant;true;0;
